cluster,gene,rank,score,logfoldchange,pval,pval_adj
0,SLCO3A1,100,35.911644,2.8179953,2.0103694773552343e-282,2.399917224544299e-280
1,IQCJ-SCHIP1,1,36.149708,5.0194836,3.760191720324388e-286,5.835441530771418e-282
1,ST6GALNAC5,2,34.70778,4.856358,6.01270113469707e-264,4.665555445468192e-260
1,DLGAP2,3,34.626698,4.6879263,1.0018995982159036e-262,5.1828266215708695e-259
1,KCNIP4,4,34.42901,5.0912046,9.284220690727795e-260,3.6020455224851163e-256
1,HS6ST3,5,34.033108,4.674984,7.216997753268961e-254,2.24001176265962e-250
1,CNTN5,6,33.921997,5.152402,3.157548268418962e-252,8.166998596265647e-249
1,SORBS2,7,33.562954,3.8990147,5.826730846395996e-247,1.2917862286459923e-243
1,KIAA1211L,8,33.548504,4.3531756,9.467121588559355e-247,1.8365032491606579e-243
1,CAMK2A,9,33.377907,3.8432243,2.8687684373345967e-244,4.946713042110623e-241
1,EPHA6,10,33.330803,4.2710257,1.382320830275256e-243,2.1452236965041696e-240
1,GABRB3,11,33.293945,3.7739494,4.724253775097212e-243,6.665063121430331e-240
1,CNKSR2,12,33.281837,3.777452,7.07178703491969e-243,9.145588582909891e-240
1,RGS6,13,33.21218,4.6720815,7.18132237313841e-242,8.572841685287307e-239
1,PHACTR1,14,32.853546,3.5806172,1.0136728464675647e-236,1.1236563503092954e-233
1,LINGO2,15,32.75386,4.6207356,2.6753698926782772e-235,2.7679376909649455e-232
1,RBFOX1,16,32.73915,4.7637134,4.332920545987082e-235,4.202662122073346e-232
1,CACNA1E,17,32.684925,3.8397098,2.557846425528654e-234,2.3350128633987753e-231
1,NELL2,18,32.560577,4.0074754,1.4832655107391327e-232,1.2788220811755888e-229
1,STXBP5L,19,32.54502,3.9591146,2.462599214623156e-232,2.011425116407198e-229
1,SYN3,20,32.527912,4.080002,4.299188078425258e-232,3.3359549894540794e-229
1,CACNA1C,21,32.47623,3.4670753,2.3096878119761594e-231,1.7068592930503815e-228
1,DLGAP1,22,32.457203,3.9312685,4.2866620292740646e-231,3.023850365104737e-228
1,KALRN,23,32.450375,3.4599466,5.351339591853028e-231,3.6107582228681365e-228
1,FAM155A,24,32.373425,3.73491,6.4955857884303125e-230,4.200208160443751e-227
1,CDH18,25,32.31025,4.0499864,5.0217487578478885e-229,2.9974045758862067e-226
1,ERC2,26,32.28974,3.491728,9.744888619645752e-229,5.601145425491942e-226
1,GRIN2A,27,32.23308,3.8626926,6.073458438580849e-228,3.3662143395834357e-225
1,CDH12,28,32.230736,4.6177516,6.550577385296432e-228,3.505462429048804e-225
1,FAM19A1,29,32.19436,4.3025875,2.116874128256305e-227,1.0950589865469866e-224
1,SNAP25,30,32.116173,3.3956773,2.621613852149286e-226,1.3124137216614443e-223
1,PTPRR,31,32.071953,3.9529884,1.085311272306441e-225,5.2634205109136434e-223
1,CDH9,32,31.91671,4.356776,1.5657560945592133e-223,7.363323888322554e-221
1,R3HDM1,33,31.848457,2.7575433,1.3826764580342646e-222,6.311104691833456e-220
1,ENC1,34,31.60178,3.9530756,3.4898647576518185e-219,1.5474060335428163e-216
1,ANO3,35,31.515217,4.3109818,5.37526682120444e-218,2.3171879388408802e-215
1,PTPRN2,36,31.488363,3.42451,1.2536352140134483e-217,5.237267987777679e-215
1,SLIT3,37,31.487642,4.0692077,1.2824033992883033e-217,5.237267987777679e-215
1,OLFM3,38,31.483028,4.1543703,1.4831416822422125e-217,5.901763017106897e-215
1,GRM1,39,31.38135,4.036797,3.635694328458337e-216,1.4105585070836231e-213
1,LRFN5,40,31.314333,3.584423,2.9778039308103855e-215,1.127135102493814e-212
1,KCNQ5,41,31.261639,4.3569956,1.551130883021431e-214,5.731428612764187e-212
1,FAM19A2,42,31.054201,3.769752,1.0011795830761175e-211,3.613326965060062e-209
1,SNED1,43,31.036612,3.8569665,1.7294698970769523e-211,6.09991893925846e-209
1,GALNT18,44,31.002817,3.293682,4.939183700678313e-211,1.7033598189072608e-208
1,GRM5,45,30.897116,3.6679308,1.3059499346186364e-209,4.4058776163797e-207
1,PLEKHA5,46,30.70533,2.8836098,4.831727047555014e-207,1.5953951500214098e-204
1,SH3GL2,47,30.68643,3.6058807,8.636229986240559e-207,2.792201107426401e-204
1,AGBL4,48,30.652636,3.5448022,2.437430161699195e-206,7.719689526410165e-204
1,ANKRD30BL,49,30.58464,3.3640234,1.959119822793065e-205,6.080716105985116e-203
1,MLIP,50,30.572865,4.2964897,2.809368108147145e-205,8.548741896144225e-203
1,CACNA1B,51,30.468176,3.5975041,6.882032653768878e-204,2.0538897068046e-201
1,SHANK2,52,30.388111,3.2141569,7.886988427260262e-203,2.3093994981632456e-200
1,CSMD1,53,30.386154,4.192863,8.370628137418089e-203,2.4056255197146543e-200
1,RGS7,54,30.372957,3.2894423,1.250428777000572e-202,3.5282553073221593e-200
1,CACNG3,55,30.314856,3.5544329,7.304187800227216e-202,2.0241730441379673e-199
1,CHN1,56,30.300219,3.0462952,1.1387547335869918e-201,3.1004095983397413e-199
1,CHRM3,57,30.294424,4.0428805,1.3575929479629107e-201,3.632497406799381e-199
1,RYR2,58,30.267052,3.6412232,3.112563264117207e-201,8.187096490819481e-199
1,RBFOX3,59,30.262068,3.4689252,3.6198410587846274e-201,9.36271889854644e-199
1,GABBR2,60,30.239975,3.4251628,7.067392977068143e-201,1.7980142887068933e-198
1,SLC4A10,61,30.228127,3.3279655,1.0116177054157912e-200,2.5321443823141394e-198
1,GRIN2B,62,30.224749,3.524716,1.1204780183476835e-200,2.760110851863127e-198
1,ATP8A2,63,30.160574,3.3769565,7.7949703237193e-200,1.8901585070906222e-197
1,CELF5,64,30.158838,3.172852,8.21417741669853e-200,1.9611664512268386e-197
1,RIMBP2,65,30.06362,3.250104,1.4491992769105108e-198,3.407594481571851e-196
1,SRRM3,66,30.038538,3.1421978,3.082104760950135e-198,7.138982654505245e-196
1,HCN1,67,30.031044,3.6057808,3.8610042735822804e-198,8.811606664959326e-196
1,ADAM23,68,30.018549,3.0296092,5.621012981325465e-198,1.264239137060723e-195
1,KCTD16,69,29.958527,3.4252748,3.4071981501292765e-197,7.553758298836606e-195
1,SYT7,70,29.945625,3.743969,5.0165518961341303e-197,1.0965051954381067e-194
1,ACTN1,71,29.931358,3.3439376,7.693348331355871e-197,1.6582371215876632e-194
1,ADGRL2,72,29.886415,3.6760137,2.954860535641359e-196,6.281709678440856e-194
1,TMEM108,73,29.884829,3.107003,3.098572986843909e-196,6.498210024706841e-194
1,SHISA9,74,29.849815,3.4664273,8.827286548771172e-196,1.826542132671731e-193
1,CADPS,75,29.840715,3.49422,1.1585118005405674e-195,2.365650609551193e-193
1,EPB41L4B,76,29.81986,3.445857,2.159729425509979e-195,4.3528364875960217e-193
1,TENM2,77,29.811,3.79073,2.8134838321311608e-195,5.597750716774805e-193
1,ABLIM2,78,29.798782,3.1033115,4.051156927738738e-195,7.958215741971831e-193
1,PTPRO,79,29.793245,3.3341482,4.778709179023868e-195,9.270098468658926e-193
1,KSR2,80,29.791048,3.1748703,5.102234625413156e-195,9.775503598986021e-193
1,MKL2,81,29.66938,2.9216616,1.9075171853340306e-193,3.610092585268149e-191
1,CNTNAP5,82,29.638317,3.7199554,4.796966248728019e-193,8.969170989639774e-191
1,HSPA12A,83,29.542747,2.8722053,8.138305693479293e-192,1.5035519768702993e-189
1,RALYL,84,29.539131,4.0744643,9.057290786116137e-192,1.6536481848204273e-189
1,SV2B,85,29.524641,3.6972818,1.3900669639243206e-191,2.5084243271094804e-189
1,CELF2,86,29.460339,2.9629316,9.281348605869862e-191,1.6367869206192546e-188
1,PGBD5,87,29.339796,2.86996,3.22479430244448e-189,5.623099188723133e-187
1,CALN1,88,29.210396,3.3076296,1.4309571424575155e-187,2.4674470993109095e-185
1,PCSK2,89,29.138117,3.3493702,1.1815928445688505e-186,2.0150702587762625e-184
1,EPHA4,90,29.07627,3.3849213,7.165196124418674e-186,1.2086595505962326e-183
1,PLPPR4,91,29.069605,3.070861,8.69871451548152e-186,1.4515629093092228e-183
1,ATRNL1,92,29.012573,3.557782,4.566809994845933e-185,7.53960896915043e-183
1,SYT1,93,28.947754,4.2901,2.995086299167266e-184,4.892709923871242e-182
1,CNGB1,94,28.910027,6.003909,8.932015982766714e-184,1.4439162087141317e-181
1,LNX1,95,28.865675,3.3454459,3.221413220875539e-183,5.153929048945102e-181
1,HECW1,96,28.86466,3.1847503,3.317319599753114e-183,5.253212537609038e-181
1,CIT,97,28.857388,2.9138815,4.0930331362776364e-183,6.416139519383094e-181
1,NETO1,98,28.852533,3.1080108,4.709212965364822e-183,7.308227600949668e-181
1,DCLK1,99,28.843582,3.5019262,6.098643864380701e-183,9.370777636764763e-181
1,SNAP91,100,28.825127,2.822501,1.0390558676142262e-182,1.5808929421083506e-180
2,DTNA,1,35.460552,4.3052325,1.9947132321013623e-275,3.0955954648981045e-271
2,SORBS1,2,34.97692,4.069699,5.047929715996967e-268,3.916941063127847e-264
2,ADGRV1,3,34.901417,6.9219213,7.075826806951134e-267,3.660325207235822e-263
2,GPM6A,4,34.793747,4.148693,3.023820255525327e-265,1.1731666636374388e-261
2,PITPNC1,5,34.6933,4.936388,9.941911559387025e-264,3.0857705098025447e-260
2,SLC1A2,6,34.486942,5.943786,1.259003400856425e-260,3.2564122963151433e-257
2,ADCY2,7,34.443256,4.6594653,5.681657963487372e-260,1.2596235705051503e-256
2,FMN2,8,34.04919,3.7929544,4.172398961898927e-254,8.09393243621368e-251
2,GLIS3,9,34.002254,6.200472,2.063348344241995e-253,3.5579003282546134e-250
2,RYR3,10,33.98415,5.573625,3.8198201949170414e-253,5.927978960491756e-250
2,RORA,11,33.902313,3.9665964,6.158416721980808e-252,8.688406282583651e-249
2,MSI2,12,33.79873,3.6717997,2.058789037562802e-250,2.6625289228280938e-247
2,NPAS3,13,33.69354,3.0086799,7.188233469624986e-249,8.581091939623858e-246
2,NEBL,14,32.966534,3.6935036,2.451953125037169e-238,2.717990039103702e-235
2,CTNND2,15,32.803333,2.4866197,5.277793526530748e-236,5.460405182548712e-233
2,MACF1,16,32.604156,2.275585,3.5811575437952953e-233,3.4734989951349493e-230
2,CTNNA2,17,32.577663,3.9065275,8.498416949952636e-233,7.758054861547938e-230
2,GPC5,18,32.498226,5.2575536,1.1295903301611277e-231,9.73895129653919e-229
2,PARD3,19,32.107563,4.1825786,3.457700431935523e-226,2.8242133159582836e-223
2,LSAMP,20,31.9981,2.802573,1.1588174995517795e-224,8.991844387772033e-222
2,RFX4,21,31.778479,6.059192,1.2839058115346902e-221,9.48806394724136e-219
2,TRPM3,22,31.221968,5.155376,5.36370366978494e-214,3.7836053296087493e-211
2,ZNRF3,23,31.113148,4.5778856,1.5993539919065498e-212,1.0791467217564238e-209
2,AQP4,24,30.958735,7.047789,1.938245499122861e-210,1.25331799587032e-207
2,TPD52L1,25,30.808514,6.0942698,2.015333697083822e-208,1.2029216786555322e-205
2,SOX5,26,30.790205,3.5503864,3.5441797076278815e-208,2.037115736395448e-205
2,ABLIM1,27,30.477371,3.6663733,5.198925210758955e-204,2.7821420808885592e-201
2,SFXN5,28,30.278666,3.9952643,2.1891098769872166e-201,1.132426539365487e-198
2,SLC4A4,29,29.961712,4.932846,3.096740508383703e-197,1.501822373425209e-194
2,HIF3A,30,29.852552,4.6819353,8.133987321593251e-196,3.825192401327444e-193
2,SPARCL1,31,29.693357,3.6784,9.35502131355803e-194,4.270016934267855e-191
2,NTRK2,32,29.660309,2.848869,2.497291761665845e-193,1.1072991671226357e-190
2,BMPR1B,33,29.562922,5.6229835,4.4803625617271436e-192,1.87920936744442e-189
2,TNIK,34,29.5544,2.9531193,5.7654713360310676e-192,2.354588149049109e-189
2,CLU,35,29.464174,3.5195148,8.288424291935827e-191,3.298155297091079e-188
2,NKAIN3,36,29.396774,4.4121246,6.038662609599602e-190,2.342850125959405e-187
2,ATP1A2,37,29.307625,4.887502,8.292472133847022e-189,3.0640684534564747e-186
2,RANBP3L,38,29.21687,7.524125,1.1840871478758665e-187,4.273453127415249e-185
2,CPE,39,29.156555,3.447648,6.899268267905699e-187,2.4334032784006486e-184
2,PARD3B,40,28.970888,3.8588517,1.5314531556668369e-184,5.2814714495096987e-182
2,PRKG1,41,28.832762,3.9455218,8.335299878871773e-183,2.7522450812810864e-180
2,NTM,42,28.75204,2.6282904,8.541025847978646e-182,2.761420419474596e-179
2,SLC1A3,43,28.750074,3.7913458,9.038100024403031e-182,2.862495393443074e-179
2,NRG3,44,28.37311,3.504257,4.342393368766252e-177,1.321364758625166e-174
2,RPS6KA2,45,28.079151,2.6012104,1.7607810744365367e-173,5.254915671957811e-171
2,PRDM16,46,28.077772,7.371188,1.8304048405627545e-173,5.359632588810073e-171
2,GJA1,47,27.873663,6.6485314,5.5664093966748355e-171,1.5997242116110513e-168
